txMsgBitstream nrzI nrzQ modI modQ modOut deModI deModQ lpfI lpfQ sampledStreamI sampledStreamQ rxMsgToBitstream
0 -1 1 2044 -48 1996 -4079824 -95808 436019 2.12888e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 1856 -860 996 -1848576 -856560 239661 2.12584e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 1385 -1504 -119 164815 178976 40235.6 2.12233e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 654 -1935 -1281 837774 2478735 -159665 2.1185e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 -110 -2043 -2153 -236830 4398579 -357424 2.11445e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 -889 -1840 -2729 -2426081 5021360 -550477 2.11029e+06 -2.08354e+06 2.09515e+06 0
1 -1 1 -1566 -1316 -2882 -4513212 3792712 -736402 2.10615e+06 -2.08354e+06 2.09515e+06 1
1 -1 1 -1951 -608 -2559 -4992609 1555872 -913013 2.10216e+06 -2.08354e+06 2.09515e+06 1
1 -1 1 -2034 205 -1829 -3720186 -374945 -1.07846e+06 2.09848e+06 -2.08354e+06 2.09515e+06 1
1 -1 1 -1798 975 -823 -1479754 -802425 -1.23128e+06 2.09525e+06 -2.08354e+06 2.09515e+06 1
1 -1 1 -1265 1607 342 432630 549594 -1.37045e+06 2.09258e+06 -2.08354e+06 2.09515e+06 1
1 -1 1 -517 1980 1463 756371 2896740 -1.49536e+06 2.0905e+06 -2.08354e+06 2.09515e+06 1
1 -1 1 267 2028 2295 -612765 4654260 -1.60582e+06 2.08902e+06 -2.08354e+06 2.09515e+06 1
1 -1 1 1059 1751 2810 -2975790 4920310 -1.70195e+06 2.08808e+06 -2.08354e+06 2.09515e+06 1
1 -1 1 1645 1215 2860 -4704700 3474900 -1.78424e+06 2.08763e+06 -2.08354e+06 2.09515e+06 1
1 -1 1 1994 455 2449 -4883306 1114295 -1.85342e+06 2.08761e+06 -2.08354e+06 2.09515e+06 1
1 -1 1 2013 -363 1650 -3321450 -598950 -1.91049e+06 2.08797e+06 -2.08354e+06 2.09515e+06 1
1 -1 1 1716 -1111 605 -1038180 -672155 -1.95664e+06 2.08867e+06 -2.08354e+06 2.09515e+06 1
1 -1 1 1137 -1700 -563 640131 957100 -1.99318e+06 2.08963e+06 -2.08354e+06 2.09515e+06 1
