Connection established...
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1454,0), ( 1438,0)] vs [mpw/( 1454, 0), ( 1502,0)] ---> FAIL, ErrNum: 23
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1454,0), ( 1438,0)] vs [mpw/( 1454, 0), ( 1502,0)] ---> FAIL, ErrNum: 24
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1454,0), ( 1438,0)] vs [mpw/( 1454, 0), ( 1502,0)] ---> FAIL, ErrNum: 25
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1454,0), ( 1438,0)] vs [mpw/( 1454, 0), ( 1502,0)] ---> FAIL, ErrNum: 26
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1454,1), ( 1438,1)] vs [mpw/( 1454, 1), ( 1502,1)] ---> FAIL, ErrNum: 27
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1289,0), ( 1589,0)] vs [mpw/( 1289, 0), ( 1653,0)] ---> FAIL, ErrNum: 28
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1289,0), ( 1589,0)] vs [mpw/( 1289, 0), ( 1653,0)] ---> FAIL, ErrNum: 29
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1289,0), ( 1589,0)] vs [mpw/( 1289, 0), ( 1653,0)] ---> FAIL, ErrNum: 30
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1289,0), ( 1589,0)] vs [mpw/( 1289, 0), ( 1653,0)] ---> FAIL, ErrNum: 31
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1289,0), ( 1589,0)] vs [mpw/( 1289, 0), ( 1653,0)] ---> FAIL, ErrNum: 32
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1289,0), ( 1589,0)] vs [mpw/( 1289, 0), ( 1653,0)] ---> FAIL, ErrNum: 33
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1289,1), ( 1589,1)] vs [mpw/( 1289, 1), ( 1653,1)] ---> FAIL, ErrNum: 34
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1137,0), ( 1700,0)] vs [mpw/( 1137, 0), ( 1764,0)] ---> FAIL, ErrNum: 35
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1137,0), ( 1700,0)] vs [mpw/( 1137, 0), ( 1764,0)] ---> FAIL, ErrNum: 36
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1137,0), ( 1700,0)] vs [mpw/( 1137, 0), ( 1764,0)] ---> FAIL, ErrNum: 37
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1137,0), ( 1700,0)] vs [mpw/( 1137, 0), ( 1764,0)] ---> FAIL, ErrNum: 38
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1137,0), ( 1700,0)] vs [mpw/( 1137, 0), ( 1764,0)] ---> FAIL, ErrNum: 39
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1137,0), ( 1700,0)] vs [mpw/( 1137, 0), ( 1764,0)] ---> FAIL, ErrNum: 40
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1137,1), ( 1700,1)] vs [mpw/( 1137, 1), ( 1764,1)] ---> FAIL, ErrNum: 41
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(  947,0), ( 1812,0)] vs [mpw/(  947, 0), ( 1876,0)] ---> FAIL, ErrNum: 42
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(  947,0), ( 1812,0)] vs [mpw/(  947, 0), ( 1876,0)] ---> FAIL, ErrNum: 43
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(  947,0), ( 1812,0)] vs [mpw/(  947, 0), ( 1876,0)] ---> FAIL, ErrNum: 44
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(  947,0), ( 1812,0)] vs [mpw/(  947, 0), ( 1876,0)] ---> FAIL, ErrNum: 45
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(  947,0), ( 1812,0)] vs [mpw/(  947, 0), ( 1876,0)] ---> FAIL, ErrNum: 46
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(  947,0), ( 1812,0)] vs [mpw/(  947, 0), ( 1876,0)] ---> FAIL, ErrNum: 47
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(  947,1), ( 1812,1)] vs [mpw/(  947, 1), ( 1876,1)] ---> FAIL, ErrNum: 48
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(  774,0), ( 1892,0)] vs [mpw/(  774, 0), ( 1892,0)] ---> PASS, ErrNum: 49
